number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_gain_to_split,params_num_leaves,params_reg_alpha,params_reg_lambda,system_attrs_fixed_params,state
115,0.7441591437726559,2025-07-12 02:08:36.011932,2025-07-12 02:15:51.359077,0 days 00:07:15.347145,0.9512124779898209,2.0,0.7165658853599896,0.02609362058058689,9.0,104.0,0.03724371137696678,0.0003837074728131815,31,5.347547739804093,0.1257449395602647,,COMPLETE
116,0.744107363908013,2025-07-12 02:15:51.360299,2025-07-12 02:22:10.689829,0 days 00:06:19.329530,0.9462270574196562,4.0,0.719326625974969,0.026089049198914038,9.0,128.0,0.02944215935719213,0.00010137127658166777,31,3.703178395528442,0.13306329878826056,,COMPLETE
117,0.744191996602478,2025-07-12 02:22:10.709324,2025-07-12 02:28:32.674458,0 days 00:06:21.965134,0.9641241526846474,1.0,0.7211177436941425,0.024983303721818007,9.0,132.0,0.02331564252717663,0.00029646956627961434,32,5.632620501344465,0.059422107874801657,,COMPLETE
118,0.7443889633939836,2025-07-12 02:28:32.675641,2025-07-12 02:36:25.307405,0 days 00:07:52.631764,0.9384706427379866,1.0,0.7096140073552839,0.02095365038427274,9.0,152.0,0.019121183089851366,0.0003608506360612681,31,8.332083466011168,0.003458445404644721,,COMPLETE
119,0.7441276392242123,2025-07-12 02:36:25.327387,2025-07-12 02:45:34.285691,0 days 00:09:08.958304,0.9597964117739816,2.0,0.7232950186391487,0.02018891318143534,9.0,64.0,0.022048112304758307,0.0009077805912570957,31,1.2647416194765215,0.084463614519122,,COMPLETE
120,0.7441011365543829,2025-07-12 02:45:34.286930,2025-07-12 02:54:02.700345,0 days 00:08:28.413415,0.9246617752410901,4.0,0.7402188824994964,0.020022206892331734,9.0,131.0,0.014499108695037935,0.00017157810338890475,31,2.7010159747708498,0.04810727043370174,,COMPLETE
121,0.7438717070500681,2025-07-12 02:54:02.720071,2025-07-12 03:03:12.486523,0 days 00:09:09.766452,0.9910175511924415,2.0,0.7791079199452202,0.021337857061455433,9.0,117.0,0.013077049978702246,0.00047328233170308725,31,7.453774070992025,0.0028265096877538903,,COMPLETE
122,0.7436568363661129,2025-07-12 03:03:12.487654,2025-07-12 03:10:11.854183,0 days 00:06:59.366529,0.9328186767941707,5.0,0.8186972676058633,0.020165321884446013,9.0,119.0,0.01812691357876386,0.00011584067762723392,31,3.049613422687398,0.008937396260670388,,COMPLETE
123,0.7441652299066206,2025-07-12 03:10:11.874003,2025-07-12 03:18:33.437825,0 days 00:08:21.563822,0.9667632205405516,1.0,0.72637933847571,0.02035877109370393,9.0,73.0,0.01897857723997921,0.0005842486018492597,31,5.055108996949232,0.017554252184760907,,COMPLETE
124,0.744122414982154,2025-07-12 03:18:33.438970,2025-07-12 03:26:37.030725,0 days 00:08:03.591755,0.9171030142226999,1.0,0.7021881771764197,0.020461327974133903,9.0,54.0,0.013389579985409704,0.0003868650725241997,32,1.7495978647340005,0.0014719218355815822,,COMPLETE
125,0.7440561028048696,2025-07-12 03:26:37.051066,2025-07-12 03:33:31.988080,0 days 00:06:54.937014,0.9900868664195799,1.0,0.7240142752306731,0.0210036867053405,9.0,89.0,0.014697524724698072,0.0003005685464588842,31,7.839769641717442,0.07770794238340317,,COMPLETE
126,0.7441976970239432,2025-07-12 03:33:31.989268,2025-07-12 03:40:26.418637,0 days 00:06:54.429369,0.9257568206887379,1.0,0.7186735143603541,0.0200736229753272,9.0,62.0,0.012413677541920968,0.0006164287318319524,31,0.8770269006864122,0.0029218561783949473,,COMPLETE
127,0.7432989688697349,2025-07-12 03:40:26.440192,2025-07-12 03:45:40.595231,0 days 00:05:14.155039,0.9360780884135195,1.0,0.7115626259973681,0.02024252595187472,9.0,97.0,0.011478010090882639,0.003424240368113625,231,0.11541478626799635,0.002026449650581888,,COMPLETE
128,0.7440866732922302,2025-07-12 03:45:40.596477,2025-07-12 03:53:46.119519,0 days 00:08:05.523042,0.9110946758110878,1.0,0.7664757392465329,0.02003897128031973,11.0,58.0,0.014406320928423996,0.0006627236285247424,31,2.8405618535770683,0.0029694521222837266,,COMPLETE
129,0.7442702747960795,2025-07-12 03:53:46.140396,2025-07-12 04:02:02.780620,0 days 00:08:16.640224,0.9098410685467891,1.0,0.7158305146177996,0.020456823879248007,9.0,67.0,0.010164400158298332,0.001538543953408922,31,4.947114164259339,0.003192795406563527,,COMPLETE
130,0.7441270950550228,2025-07-12 04:02:02.781760,2025-07-12 04:08:59.835882,0 days 00:06:57.054122,0.8840864046305585,1.0,0.7158662525251569,0.020289322473597795,7.0,112.0,0.012551999110605769,0.00011404658267484789,31,2.5031005014334142,0.015231933845139144,,COMPLETE
131,0.7441645712903524,2025-07-12 04:08:59.857324,2025-07-12 04:14:21.153075,0 days 00:05:21.295751,0.8723407126502531,1.0,0.7087479677260081,0.020164805952571932,7.0,152.0,0.009154048501483693,0.00018793750193981014,31,0.08580870624228099,0.021757661344689143,,COMPLETE
132,0.7440747464979455,2025-07-12 04:14:21.154416,2025-07-12 04:21:42.944947,0 days 00:07:21.790531,0.8798152647329879,1.0,0.7305653279341656,0.020546698182773437,7.0,175.0,0.007290366570066589,0.00014807255972344705,31,0.6339390210733766,0.01620163318711129,,COMPLETE
133,0.7440542716813354,2025-07-12 04:21:42.967279,2025-07-12 04:28:55.596965,0 days 00:07:12.629686,0.8751709738964023,1.0,0.7446779775887307,0.020101190722490128,9.0,122.0,0.009246950833760783,0.0012163496546847689,31,1.8043095008987953,0.004823341424497542,,COMPLETE
134,0.7443336237157544,2025-07-12 04:28:55.598175,2025-07-12 04:37:20.603598,0 days 00:08:25.005423,0.8559337955086315,2.0,0.7077235442941281,0.020531816356446658,-1.0,112.0,0.01052382223759483,0.00010359615587463232,31,3.8423094437396346,0.001262235961316027,,COMPLETE
135,0.7442331616268468,2025-07-12 04:37:20.626608,2025-07-12 04:45:27.899068,0 days 00:08:07.272460,0.9236149906112056,1.0,0.7259076653139819,0.02026342326860661,9.0,52.0,0.008685214816354312,0.0028858484504737055,31,6.880582048112401,0.00928270289307583,,COMPLETE
136,0.7438879106448031,2025-07-12 04:45:27.900283,2025-07-12 04:52:29.031828,0 days 00:07:01.131545,0.88019545942779,1.0,0.8065303930106966,0.020021728644159565,9.0,99.0,0.006653855885786718,0.00010143227590012377,31,0.13728844292789902,0.003413116503929092,,COMPLETE
137,0.7442326879592995,2025-07-12 04:52:29.053896,2025-07-12 05:00:51.698571,0 days 00:08:22.644675,0.8900655669106685,2.0,0.7128774773075057,0.020201891053586565,9.0,55.0,0.007796305832620681,0.012723904774472062,31,4.520821665074166,0.007129517093200288,,COMPLETE
138,0.7443397599175996,2025-07-12 05:00:51.699729,2025-07-12 05:09:43.528918,0 days 00:08:51.829189,0.9103862382518736,2.0,0.7031634284744328,0.02010780110873099,9.0,65.0,0.010237334488229758,0.0003353779481332873,31,9.347927136378528,0.0022558342468706628,,COMPLETE
139,0.7440888751572418,2025-07-12 05:09:43.553072,2025-07-12 05:16:17.706438,0 days 00:06:34.153366,0.8976867120996309,3.0,0.7202534478415198,0.02029624405976706,9.0,74.0,0.007352896983323357,0.022136251091091477,54,6.157318469439215,0.007665717310132889,,COMPLETE
140,0.7441528799374018,2025-07-12 05:16:17.707637,2025-07-12 05:22:43.634232,0 days 00:06:25.926595,0.8796266329107617,3.0,0.7159120255838558,0.020265310935218033,9.0,86.0,0.008558873551544117,0.0005670291495345813,31,2.518456293476257,0.0017861474542542005,,COMPLETE
